,Country,year,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP/Capita,Energy Usage/Capita,CO2 Emissions/Capita,Life Expectancy Combined,tsne_2
15,Bangladesh,2006.0,0.023153846153846153,2.6310183862903282,9.534479320851482,3.5908387179821104,16.423062134223084,15.388171952500665,0.03338461538461539,2.700167911082701,7.896601096409147,0.04876923076923077,0.015384615384615385,0.09475612902583103,68.46153846153847,67.38461538461539,0.2,0.33784615384615385,0.6185384615384616,0.04376923076923077,36.015384334417945,0.27607692307692305,25.858596633400214,18.43678251672691,6.066140833224419,0.00017396093397165207,0.0002948660927504546,67.92307692307692,0
16,Barbados,2006.0,0.013,2.704914810683493,6.698529934731849,2.791978628182294,7.8627299218066895,14.319143575745318,0.0706923076923077,5.860458531483935,7.223134719258092,0.014461538461538461,0.4846153846153846,0.0690883812440657,76.53846153846153,71.76923076923077,0.7923076923076924,0.20353846153846153,0.6880769230769231,0.10853846153846154,19.08359751191295,0.32776923076923076,31.108847927215688,17.765849242788022,9.238419929258074,0.0013519530277641462,0.0036413052467825385,74.15384615384616,2
17,Belarus,2006.0,0.010153846153846154,3.1724611762103874,9.764244636955015,3.6786812989636624,16.58661937029884,15.154937486185725,0.061153846153846156,4.85829432353523,9.534058173974483,0.007,0.2153846153846154,0.11656944001599198,75.84615384615384,64.07692307692308,0.5538461538461539,0.15876923076923077,0.6995384615384614,0.1413846153846154,27.881052673707853,0.7278461538461538,29.58303240394751,18.52640756333186,8.016873699875246,0.00256076305929715,0.004109089612020704,69.96153846153847,4
18,Belgium,2006.0,0.01146153846153846,2.870184414183053,10.250600989165086,3.118153845418914,18.540495062458408,15.950301702357645,0.09707692307692307,6.944949003580247,6.48658039990155,0.004153846153846154,0.5923076923076923,0.0635419660181067,82.15384615384616,76.46153846153847,0.9230769230769231,0.17084615384615384,0.6573846153846155,0.172,28.139795390097436,0.9742307692307691,36.45911904814598,21.283849046340023,10.11492786917493,0.004595785701311756,0.005496267255208364,79.3076923076923,1
19,Belize,2006.0,0.02630769230769231,2.612734221540547,5.719142822226488,3.5647914292570095,6.486440861636074,13.840902352984338,0.049,4.783627809539686,6.3915270352139775,0.01784615384615385,0.12307692307692308,0.09220129849523126,75.46153846153847,69.15384615384616,0.38461538461538464,0.3738461538461539,0.5855384615384616,0.040461538461538465,19.1231263814114,0.46053846153846156,27.911162057014444,16.29561329233303,8.096460535528696,0.0005879606155465683,0.001463944682506628,72.3076923076923,2
20,Benin,2006.0,0.03976923076923077,2.9738752946344342,7.482885417624603,3.2494399136450456,11.585510770718619,14.409675934278042,0.04492307692307692,3.062111973121512,7.391177637444743,0.073,0.0,0.1014759357819253,58.92307692307692,55.92307692307692,0.2846153846153846,0.44261538461538463,0.5288461538461539,0.028538461538461537,27.516660364212708,0.40415384615384614,27.063981641615147,16.737407649509162,6.2014614768270615,0.0003356177082762565,0.0003926526924961679,57.42307692307692,0
21,Bermuda,2006.0,0.01276923076923077,2.7061455260021514,5.809241186110414,3.7572277677532804,15.819702724908211,14.410711859234967,0.05519999999999999,6.169880565059922,7.299032035543886,0.005983846153846154,0.6846153846153846,0.15440513142404316,81.53846153846153,76.23076923076923,0.9076923076923078,0.3117823787863472,0.6293139474755579,0.0589036737380949,16.01633546041803,1.0,29.360565748432865,18.0248114584139,10.80584591902397,0.015025466703167642,0.0047639105917294,78.88461538461539,3
22,Bhutan,2006.0,0.023076923076923075,2.701590659342509,5.638433581238118,3.7163073935020874,6.873546757425809,13.784660350139855,0.05030769230769231,3.9210742639096328,7.416109469315977,0.04369230769230769,0.06923076923076923,0.09326550121178853,64.61538461538461,64.3076923076923,0.26153846153846155,0.33661538461538465,0.6213846153846153,0.041923076923076924,21.066342425925992,0.31323076923076926,24.467308535358818,16.095415122948467,7.138259108548588,0.00031942792905074465,0.0005952148623169795,64.46153846153847,2
23,Bolivia,2006.0,0.028307692307692308,3.016818105297948,8.571003614350953,3.7224167274220967,12.850414542023728,14.798325521754505,0.05530769230769231,3.992563922446687,9.897276783899194,0.042923076923076925,0.11538461538461539,0.0985854275683163,67.23076923076923,63.0,0.38461538461538464,0.3771538461538462,0.5779230769230769,0.04484615384615384,27.835699701475892,0.6462307692307692,28.620422288323997,17.93317017710585,7.072768805014321,0.0005431430506528512,0.0012566747963425056,65.11538461538461,0
24,Bosnia and Herzegovina,2006.0,0.008769230769230769,2.652742242485129,9.1480751003546,3.8423868955817544,12.886254091084755,14.760099393437192,0.08653846153846154,5.062331610329068,8.016795221319233,0.007,0.2692307692307692,0.07638365251314355,77.92307692307692,73.0,0.5076923076923078,0.18523076923076923,0.6806923076923077,0.1340769230769231,25.42438110692575,0.3924615384615385,29.970377589148516,17.5670771554868,7.848516556637743,0.0013407493192692417,0.004478165424176838,75.46153846153847,1
25,Botswana,2006.0,0.02530769230769231,2.2772750218474354,7.718342170465275,4.161777460429687,10.854300263259391,14.67394485676762,0.051923076923076926,5.01993472682756,6.345022310725573,0.04523076923076923,0.04615384615384616,0.09422347557276546,47.53846153846154,47.07692307692308,0.6384615384615385,0.3567692307692308,0.6107692307692307,0.032615384615384616,23.601912850334386,0.5524615384615384,28.522589494700654,17.52039384996149,8.293531692570756,0.00102683042445256,0.002093474952218381,47.30769230769231,2
26,Brazil,2006.0,0.017615384615384616,2.9443746213079773,11.174333444598014,4.535009580427204,22.3538838970897,16.317552988351256,0.08099999999999999,5.562684112627253,11.67978449100209,0.019923076923076925,0.25384615384615383,0.15437199332004675,75.76923076923077,68.38461538461539,0.6153846153846154,0.2713076923076923,0.6654615384615384,0.06323076923076923,36.88026530155298,0.8309230769230769,34.440684177509304,20.882179438303094,8.519218104228395,0.00115914247709562,0.0016994295455759914,72.07692307692308,4
